IN,India,IN21,Odisha,16443,"Bhathiara (Hindu traditions)",1,ory,Odia,5,Hinduism,,Y,7250,7250,,,,,
IN,India,IN21,Odisha,16445,Bhattra,1,bgw,Bhatri,5,Hinduism,p16445.jpg,N,122760,121560,,,1140,,
IN,India,IN21,Odisha,21017,"Bhil Mavchi (Hindu traditions)",1,bhb,Bhili,5,Hinduism,p21017.jpg,N,80,80,,,,,
IN,India,IN21,Odisha,16414,"Bhil unspecified",1,guj,Gujarati,5,Hinduism,p16414.jpg,N,1350,1350,,,,,
IN,India,IN21,Odisha,16418,Bhisti,1,urd,Urdu,6,Islam,p16418.jpg,Y,40,,40,,,,
IN,India,IN21,Odisha,16428,Bhogta,1,hin,Hindi,5,Hinduism,p16428.jpg,Y,20,20,,,,,
IN,India,IN21,Odisha,16429,"Bhoi (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16429.jpg,Y,81770,81570,,110,120,,
IN,India,IN21,Odisha,16435,Bhottada,1,kxv,Kuvi,5,Hinduism,,N,541700,532120,1030,20,8100,20,490
IN,India,IN21,Odisha,16436,Bhoyar,1,hin,Hindi,5,Hinduism,p16436.jpg,Y,40,40,,,,,
IN,India,IN21,Odisha,21122,"Bhuiya Ghatwar",1,hin,Hindi,5,Hinduism,p21122.jpg,N,21290,21260,,,20,,
IN,India,IN21,Odisha,16452,"Bhuiya unspecified",1,hin,Hindi,5,Hinduism,p16452.jpg,N,291250,290120,270,,470,30,370
IN,India,IN21,Odisha,16419,Bhulia,1,ory,Odia,5,Hinduism,p16419.jpg,Y,131180,131180,,,,,
IN,India,IN21,Odisha,16420,Bhumia,1,ory,Odia,5,Hinduism,p16420.jpg,N,151080,148990,140,10,1840,20,110
IN,India,IN21,Odisha,16447,Bhumij,1,ben,Bengali,5,Hinduism,p16447.jpg,N,336450,328920,480,20,870,20,6870
IN,India,IN21,Odisha,16425,Bhunjia,1,bhu,Bhunjia,5,Hinduism,p16425.jpg,Y,14610,14600,10,,10,,10
IN,India,IN21,Odisha,16455,Bidur,1,mar,Marathi,5,Hinduism,,Y,340,340,,,,,
