ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN39,Uttarakhand,17624,"Mallah (Muslim traditions)",1,ben,Bengali,6,Islam,p17624.jpg,Y,2280,,2280,,,,
IN,India,IN39,Uttarakhand,21346,"Mallah Kewat (Hindu traditions)",1,hin,Hindi,5,Hinduism,p21346.jpg,Y,120,120,,,,,
IN,India,IN39,Uttarakhand,17446,Manihar,1,urd,Urdu,6,Islam,p17446.jpg,Y,10600,,10600,,,,
IN,India,IN39,Uttarakhand,17452,Mappila,1,mal,Malayalam,6,Islam,p17452.jpg,Y,80,,80,,,,
IN,India,IN39,Uttarakhand,17466,Matia,1,ben,Bengali,5,Hinduism,p17466.jpg,Y,60,60,,,,,
IN,India,IN39,Uttarakhand,17475,"Mazhabi (Hindu traditions)",1,pan,"Punjabi, Eastern",5,Hinduism,p17475.jpg,N,430,400,,,40,,
IN,India,IN39,Uttarakhand,20902,"Mazhabi (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p20902.jpg,N,7040,,,,300,6740,
IN,India,IN39,Uttarakhand,13723,Meena,1,hin,Hindi,5,Hinduism,p13723.jpg,N,2180,2180,,,,,
IN,India,IN39,Uttarakhand,17527,"Megh (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17527.jpg,Y,760,760,,,,,
IN,India,IN39,Uttarakhand,17531,"Meo (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17531.jpg,Y,460,460,,,,,
IN,India,IN39,Uttarakhand,17532,"Merat (Muslim traditions)",1,urd,Urdu,6,Islam,p17532.jpg,Y,1000,,1000,,,,
IN,India,IN39,Uttarakhand,17620,"Mewati (Muslim traditions)",1,urd,Urdu,6,Islam,p17620.jpg,Y,1110,,1110,,,,
IN,India,IN39,Uttarakhand,17562,"Mirasi (Hindu traditions)",1,pan,"Punjabi, Eastern",5,Hinduism,p17562.jpg,N,3850,3800,,,50,,
IN,India,IN39,Uttarakhand,13161,Mizo,3,lus,Mizo,1,Christianity,p13161.jpg,N,20,,,,20,,
IN,India,IN39,Uttarakhand,17639,"Mochi (Hindu traditions)",1,ben,Bengali,5,Hinduism,p17639.jpg,N,8210,8210,,,,,
IN,India,IN39,Uttarakhand,17625,"Mochi (Muslim traditions)",1,urd,Urdu,6,Islam,p17625.jpg,Y,770,,770,,,,
IN,India,IN39,Uttarakhand,17708,"Murao (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17708.jpg,Y,45670,45670,,,,,
IN,India,IN39,Uttarakhand,17711,"Musahar (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17711.jpg,N,850,850,,,,,
IN,India,IN39,Uttarakhand,21552,"Nadar (Christian traditions)",3,tam,Tamil,1,Christianity,,N,60,,,,60,,
IN,India,IN39,Uttarakhand,17735,"Nadar (Hindu traditions)",1,tam,Tamil,5,Hinduism,p17735.jpg,Y,60,60,,,,,
IN,India,IN39,Uttarakhand,18214,"Naga Tangkhul",3,nmf,"Naga, Tangkhul (India)",1,Christianity,p18214.jpg,N,10,,,,10,,
IN,India,IN39,Uttarakhand,17745,"Nai (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17745.jpg,Y,46440,46440,,,,,
IN,India,IN39,Uttarakhand,18137,"Nai (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p18137.jpg,Y,4320,,,,,4320,
IN,India,IN39,Uttarakhand,21208,"Nai Mathuria",1,hin,Hindi,5,Hinduism,,Y,50,50,,,,,
IN,India,IN39,Uttarakhand,17747,Nair,1,mal,Malayalam,5,Hinduism,p17747.jpg,N,80,80,,,,,
IN,India,IN39,Uttarakhand,17756,"Namassej (Hindu traditions)",1,ben,Bengali,5,Hinduism,p17756.jpg,N,1400,1400,,,,,
IN,India,IN39,Uttarakhand,21212,"Namassej Chandel",1,ben,Bengali,5,Hinduism,p21212.jpg,N,660,660,,,,,
IN,India,IN39,Uttarakhand,17763,"Nat (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17763.jpg,Y,1400,1400,,,,,
IN,India,IN39,Uttarakhand,17631,"Nat (Muslim traditions)",1,urd,Urdu,6,Islam,p17631.jpg,Y,5690,,5690,,,,
IN,India,IN39,Uttarakhand,17766,Navithan,1,tam,Tamil,5,Hinduism,p17766.jpg,Y,20,20,,,,,
IN,India,IN39,Uttarakhand,13322,Newah,1,npi,Nepali,5,Hinduism,p13322.jpg,N,880,840,,30,,,
IN,India,IN39,Uttarakhand,14210,Oraon,2,kru,Kurux,5,Hinduism,p14210.jpg,N,60,60,,,,,
IN,India,IN39,Uttarakhand,17821,Paliya,1,ben,Bengali,5,Hinduism,p17821.jpg,Y,80,80,,,,,
IN,India,IN39,Uttarakhand,17886,"Pallan (Hindu traditions)",1,tam,Tamil,5,Hinduism,p17886.jpg,N,60,60,,,,,
IN,India,IN39,Uttarakhand,17835,Panka,1,hin,Hindi,5,Hinduism,p17835.jpg,Y,40,40,,,,,
IN,India,IN39,Uttarakhand,21605,"Paraiyan (Christian traditions)",3,tam,Tamil,1,Christianity,,N,40,,,,40,,
IN,India,IN39,Uttarakhand,17844,"Paraiyan (Hindu traditions)",1,tam,Tamil,5,Hinduism,p17844.jpg,N,40,40,,,,,
IN,India,IN39,Uttarakhand,17850,Parhaiya,1,hin,Hindi,5,Hinduism,,N,60,60,,,,,
